#LAMOST resolution curve power R=lambda/FWHM
#The curve abruptly change at lambda = 5850AA
#--------------------------------------------
#     wave          R
#--------------------------------------------  
      4016.35      1087.81
      4017.27      1088.43
      4018.20      1089.04
      4019.12      1089.66
      4020.05      1090.27
      4020.97      1090.89
      4021.90      1091.51
      4022.83      1092.12
      4023.75      1092.74
      4024.68      1093.36
      4025.61      1093.98
      4026.53      1094.60
      4027.46      1095.21
      4028.39      1095.83
      4029.32      1096.45
      4030.24      1097.07
      4031.17      1097.69
      4032.10      1098.31
      4033.03      1098.93
      4033.96      1099.55
      4034.89      1100.17
      4035.82      1100.79
      4036.75      1101.41
      4037.67      1102.03
      4038.61      1102.65
      4039.53      1103.27
      4040.46      1103.89
      4041.40      1104.51
      4042.33      1105.13
      4043.26      1105.75
      4044.19      1106.38
      4045.12      1107.00
      4046.05      1107.62
      4046.98      1108.24
      4047.92      1108.87
      4048.85      1109.49
      4049.78      1110.11
      4050.71      1110.74
      4051.65      1111.36
      4052.58      1111.98
      4053.51      1112.61
      4054.44      1113.23
      4055.38      1113.86
      4056.31      1114.48
      4057.25      1115.11
      4058.18      1115.73
      4059.11      1116.36
      4060.05      1116.98
      4060.98      1117.61
      4061.92      1118.23
      4062.86      1118.86
      4063.79      1119.49
      4064.73      1120.11
      4065.66      1120.74
      4066.60      1121.37
      4067.54      1121.99
      4068.47      1122.62
      4069.41      1123.25
      4070.35      1123.88
      4071.28      1124.51
      4072.22      1125.13
      4073.16      1125.76
      4074.10      1126.39
      4075.03      1127.02
      4075.97      1127.65
      4076.91      1128.28
      4077.85      1128.91
      4078.79      1129.54
      4079.73      1130.17
      4080.67      1130.80
      4081.61      1131.43
      4082.55      1132.06
      4083.49      1132.69
      4084.43      1133.32
      4085.37      1133.95
      4086.31      1134.58
      4087.25      1135.21
      4088.19      1135.84
      4089.13      1136.48
      4090.08      1137.11
      4091.02      1137.74
      4091.96      1138.37
      4092.90      1139.00
      4093.84      1139.64
      4094.79      1140.27
      4095.73      1140.90
      4096.67      1141.54
      4097.62      1142.17
      4098.56      1142.80
      4099.51      1143.44
      4100.45      1144.07
      4101.39      1144.70
      4102.34      1145.34
      4103.28      1145.97
      4104.23      1146.61
      4105.17      1147.24
      4106.12      1147.88
      4107.06      1148.51
      4108.01      1149.15
      4108.96      1149.79
      4109.90      1150.42
      4110.85      1151.06
      4111.79      1151.69
      4112.74      1152.33
      4113.69      1152.97
      4114.63      1153.60
      4115.58      1154.24
      4116.53      1154.88
      4117.48      1155.51
      4118.43      1156.15
      4119.38      1156.79
      4120.32      1157.43
      4121.27      1158.06
      4122.22      1158.70
      4123.17      1159.34
      4124.12      1159.98
      4125.07      1160.62
      4126.02      1161.26
      4126.97      1161.90
      4127.92      1162.54
      4128.87      1163.18
      4129.82      1163.81
      4130.77      1164.46
      4131.72      1165.09
      4132.68      1165.74
      4133.63      1166.37
      4134.58      1167.01
      4135.53      1167.66
      4136.48      1168.30
      4137.44      1168.94
      4138.39      1169.58
      4139.34      1170.22
      4140.30      1170.86
      4141.25      1171.50
      4142.20      1172.14
      4143.16      1172.79
      4144.11      1173.43
      4145.06      1174.07
      4146.02      1174.71
      4146.97      1175.36
      4147.93      1176.00
      4148.88      1176.64
      4149.84      1177.28
      4150.80      1177.93
      4151.75      1178.57
      4152.71      1179.21
      4153.66      1179.86
      4154.62      1180.50
      4155.58      1181.14
      4156.53      1181.79
      4157.49      1182.43
      4158.45      1183.08
      4159.41      1183.72
      4160.36      1184.37
      4161.32      1185.01
      4162.28      1185.66
      4163.24      1186.30
      4164.20      1186.95
      4165.16      1187.59
      4166.12      1188.24
      4167.08      1188.88
      4168.04      1189.53
      4168.99      1190.17
      4169.95      1190.82
      4170.92      1191.47
      4171.88      1192.11
      4172.84      1192.76
      4173.80      1193.41
      4174.76      1194.05
      4175.72      1194.70
      4176.68      1195.35
      4177.64      1196.00
      4178.60      1196.64
      4179.57      1197.29
      4180.53      1197.94
      4181.49      1198.59
      4182.46      1199.23
      4183.42      1199.88
      4184.38      1200.53
      4185.35      1201.18
      4186.31      1201.83
      4187.27      1202.48
      4188.24      1203.12
      4189.20      1203.77
      4190.17      1204.42
      4191.13      1205.07
      4192.10      1205.72
      4193.06      1206.37
      4194.03      1207.02
      4195.00      1207.67
      4195.96      1208.32
      4196.93      1208.97
      4197.89      1209.62
      4198.86      1210.27
      4199.83      1210.92
      4200.79      1211.57
      4201.76      1212.22
      4202.73      1212.87
      4203.70      1213.52
      4204.66      1214.17
      4205.63      1214.82
      4206.60      1215.48
      4207.57      1216.13
      4208.54      1216.78
      4209.51      1217.43
      4210.48      1218.08
      4211.45      1218.73
      4212.42      1219.38
      4213.39      1220.04
      4214.36      1220.69
      4215.33      1221.34
      4216.30      1221.99
      4217.27      1222.65
      4218.24      1223.30
      4219.21      1223.95
      4220.18      1224.60
      4221.15      1225.25
      4222.13      1225.91
      4223.10      1226.56
      4224.07      1227.22
      4225.05      1227.87
      4226.02      1228.52
      4226.99      1229.18
      4227.96      1229.83
      4228.94      1230.48
      4229.91      1231.14
      4230.89      1231.79
      4231.86      1232.44
      4232.83      1233.10
      4233.81      1233.75
      4234.78      1234.41
      4235.76      1235.06
      4236.74      1235.71
      4237.71      1236.37
      4238.69      1237.02
      4239.66      1237.68
      4240.64      1238.33
      4241.62      1238.99
      4242.59      1239.64
      4243.57      1240.30
      4244.55      1240.95
      4245.52      1241.61
      4246.50      1242.26
      4247.48      1242.92
      4248.46      1243.57
      4249.44      1244.23
      4250.42      1244.89
      4251.40      1245.54
      4252.37      1246.20
      4253.35      1246.85
      4254.33      1247.51
      4255.31      1248.17
      4256.29      1248.82
      4257.27      1249.48
      4258.25      1250.14
      4259.23      1250.79
      4260.21      1251.45
      4261.19      1252.10
      4262.17      1252.76
      4263.16      1253.42
      4264.14      1254.07
      4265.12      1254.73
      4266.10      1255.39
      4267.08      1256.05
      4268.07      1256.70
      4269.05      1257.36
      4270.03      1258.02
      4271.02      1258.67
      4272.00      1259.33
